縣市名稱,鄉鎮市區名稱,學校代碼,學校名稱,公/私立,山地別,學生總數,阿美族原住民學生數,泰雅族原住民學生數,排灣族原住民學生數,布農族原住民學生數,卑南族原住民學生數,鄒(曹)族原住民學生數,魯凱族原住民學生數,賽夏族原住民學生數,雅美族原住民學生數,邵族原住民學生數,噶瑪蘭族原住民學生數,太魯閣族原住民學生數,撒奇萊雅族原住民學生數,賽德克族原住民學生數,拉阿魯哇族原住民學生數,卡那卡那富族原住民學生數,其他原住民學生數
[01]新北市,烏來區,014684,市立烏來國(中)小,公立,山,67,1,57,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
[01]新北市,烏來區,014685,市立福山國小,公立,山,20,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034730,市立介壽國小,公立,山,77,0,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034731,市立三民國小,公立,山,59,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034732,市立義盛國小,公立,山,37,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034733,市立霞雲國小,公立,山,27,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034734,市立奎輝國小,公立,山,50,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034735,市立光華國小,公立,山,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034736,市立高義國小,公立,山,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034737,市立長興國小,公立,山,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034738,市立三光國小,公立,山,36,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034740,市立羅浮國小,公立,山,60,0,48,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
[03]桃園市,復興區,034741,市立巴崚國小,公立,山,45,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064729,市立和平區和平國小,公立,山,39,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064731,市立白冷國小,公立,山,21,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064732,市立博屋瑪國小,公立,山,55,2,47,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064733,市立中坑國小,公立,山,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064734,市立平等國小,公立,山,38,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064735,市立博愛國小,公立,山,48,0,23,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0
[06]臺中市,和平區,064736,市立自由國小,公立,山,27,0,14,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
[06]臺中市,和平區,064737,市立梨山國(中)小,公立,山,87,15,12,2,6,0,0,0,0,0,1,0,0,0,1,0,0,0
[12]高雄市,那瑪夏區,124731,市立民生國小,公立,山,103,0,1,1,79,0,5,0,0,0,0,0,0,0,0,0,17,0
[12]高雄市,茂林區,124732,市立茂林國小,公立,山,37,2,0,4,4,0,0,22,0,0,0,0,2,0,0,0,0,0
[12]高雄市,茂林區,124733,市立多納國小,公立,山,32,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
[12]高雄市,桃源區,124734,市立桃源國小,公立,山,71,1,1,3,60,0,0,0,0,0,0,0,0,0,0,1,0,0
[12]高雄市,桃源區,124735,市立建山國小,公立,山,41,1,0,4,30,2,0,0,0,0,0,0,0,0,0,2,0,0
[12]高雄市,桃源區,124736,市立興中國小,公立,山,56,0,0,2,41,0,1,0,0,0,0,0,0,0,0,9,0,0
[12]高雄市,桃源區,124737,市立寶山國小,公立,山,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0
[12]高雄市,桃源區,124738,市立樟山國小,公立,山,32,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
[12]高雄市,那瑪夏區,124755,市立那瑪夏區民權國小,公立,山,129,0,1,2,50,0,0,0,0,0,0,0,0,0,0,1,18,0
[02]宜蘭縣,大同鄉,024668,縣立四季國小,公立,山,85,1,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,大同鄉,024669,縣立南山國小,公立,山,70,0,67,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
[02]宜蘭縣,大同鄉,024670,縣立大同國小,公立,山,105,2,91,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0
[02]宜蘭縣,大同鄉,024671,縣立寒溪國小,公立,山,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024672,縣立南澳國小,公立,山,69,0,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024673,縣立碧候國小,公立,山,84,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024674,縣立武塔國小,公立,山,19,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024675,縣立澳花國小,公立,山,74,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024676,縣立東澳國小,公立,山,50,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024677,縣立金岳國小,公立,山,43,0,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
[02]宜蘭縣,南澳鄉,024678,縣立金洋國小,公立,山,44,0,41,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
[04]新竹縣,尖石鄉,044666,縣立尖石國小,公立,山,27,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044667,縣立嘉興國小,公立,山,87,0,79,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044668,縣立新樂國小,公立,山,105,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044669,縣立梅花國小,公立,山,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044670,縣立錦屏國小,公立,山,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044671,縣立玉峰國小,公立,山,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[04]新竹縣,尖石鄉,044672,縣立石磊國小,公立,山,30,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044673,縣立秀巒國小,公立,山,72,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,尖石鄉,044674,縣立新光國小,公立,山,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,五峰鄉,044675,縣立五峰國小,公立,山,72,0,37,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
[04]新竹縣,五峰鄉,044676,縣立桃山國小,公立,山,55,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[04]新竹縣,五峰鄉,044677,縣立花園國小,公立,山,37,0,33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
[05]苗栗縣,泰安鄉,054707,縣立泰安國(中)小,公立,山,6,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[05]苗栗縣,泰安鄉,054708,縣立泰興國小,公立,山,31,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[05]苗栗縣,泰安鄉,054709,縣立清安國小,公立,山,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[05]苗栗縣,泰安鄉,054711,縣立汶水國小,公立,山,59,1,41,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
[05]苗栗縣,泰安鄉,054712,縣立象鼻國小,公立,山,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[05]苗栗縣,泰安鄉,054714,縣立梅園國小,公立,山,53,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[05]苗栗縣,泰安鄉,054725,縣立士林國小,公立,山,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084716,縣立信義國小,公立,山,48,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084717,縣立羅娜國小,公立,山,97,2,3,0,88,0,0,0,0,0,0,0,0,0,1,0,0,0
[08]南投縣,信義鄉,084718,縣立同富國小,公立,山,138,1,0,0,80,0,0,0,0,0,3,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084719,縣立愛國國小,公立,山,51,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0
[08]南投縣,信義鄉,084720,縣立人和國小,公立,山,82,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084721,縣立地利國小,公立,山,57,0,0,0,52,0,0,0,0,0,0,0,0,0,1,0,0,0
[08]南投縣,信義鄉,084722,縣立東埔國小,公立,山,38,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084724,縣立潭南國小,公立,山,89,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084728,縣立隆華國小,公立,山,41,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084729,縣立希娜巴嵐國小,公立,山,52,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084730,縣立久美國小,公立,山,52,0,2,0,38,0,11,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084731,縣立雙龍國小,公立,山,44,0,2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,信義鄉,084732,縣立豐丘國小,公立,山,30,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0
[08]南投縣,仁愛鄉,084733,縣立仁愛國小,公立,山,48,0,2,0,6,0,0,0,0,0,0,0,0,0,35,0,0,0
[08]南投縣,仁愛鄉,084734,縣立親愛國小,公立,山,91,0,41,1,3,0,0,0,0,0,0,0,2,0,28,0,0,0
[08]南投縣,仁愛鄉,084735,縣立法治國小,公立,山,75,2,0,0,70,0,0,0,0,0,0,0,0,0,2,0,0,0
[08]南投縣,仁愛鄉,084736,縣立合作國小,公立,山,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
[08]南投縣,仁愛鄉,084737,縣立互助國小,公立,山,64,2,14,0,1,0,0,0,0,1,0,0,0,0,46,0,0,0
[08]南投縣,仁愛鄉,084738,縣立力行國小,公立,山,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,仁愛鄉,084739,縣立南豐國小,公立,山,44,1,4,1,3,0,0,0,0,0,0,0,0,0,28,0,0,0
[08]南投縣,仁愛鄉,084740,縣立中正國小,公立,山,89,1,4,1,81,0,0,0,0,0,0,0,2,0,0,0,0,0
[08]南投縣,仁愛鄉,084741,縣立廬山國小,公立,山,52,0,1,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0
[08]南投縣,仁愛鄉,084742,縣立發祥國小,公立,山,15,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[08]南投縣,仁愛鄉,084743,縣立萬豐國小,公立,山,66,0,1,1,60,0,0,0,0,0,0,0,0,0,1,0,0,0
[08]南投縣,仁愛鄉,084744,縣立都達國小,公立,山,45,0,6,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0
[08]南投縣,仁愛鄉,084745,縣立春陽國小,公立,山,63,0,1,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
[08]南投縣,仁愛鄉,084746,縣立紅葉國小,公立,山,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[08]南投縣,仁愛鄉,084747,縣立清境國小,公立,山,58,0,0,1,2,1,0,1,0,0,2,0,0,0,12,0,0,0
[10]嘉義縣,阿里山鄉,104727,縣立達邦國小,公立,山,56,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0
[10]嘉義縣,阿里山鄉,104729,縣立十字國小,公立,山,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
[10]嘉義縣,阿里山鄉,104730,縣立來吉國小,公立,山,18,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0
[10]嘉義縣,阿里山鄉,104732,縣立山美國小,公立,山,22,0,0,0,4,0,12,6,0,0,0,0,0,0,0,0,0,0
[10]嘉義縣,阿里山鄉,104733,縣立新美國小,公立,山,27,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0
[10]嘉義縣,阿里山鄉,104734,縣立阿里山國(中)小,公立,山,77,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
[10]嘉義縣,阿里山鄉,104735,縣立香林國小,公立,山,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[10]嘉義縣,阿里山鄉,104737,縣立茶山國小,公立,山,14,0,0,1,4,0,8,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,三地門鄉,134737,縣立地磨兒國小,公立,山,162,0,0,134,0,0,0,26,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,三地門鄉,134740,縣立青山國小,公立,山,52,0,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,三地門鄉,134741,縣立青葉國小,公立,山,36,2,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,三地門鄉,134742,縣立口社國小,公立,山,61,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,瑪家鄉,134744,縣立佳義國小,公立,山,155,2,0,143,0,1,0,4,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,瑪家鄉,134746,縣立北葉國小,公立,山,113,0,0,95,0,0,0,17,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,霧臺鄉,134748,縣立霧臺國小,公立,山,93,0,0,20,0,0,0,72,0,0,0,0,0,0,1,0,0,0
[13]屏東縣,泰武鄉,134751,縣立武潭國小,公立,山,154,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,泰武鄉,134752,縣立泰武國小,公立,山,111,1,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,泰武鄉,134753,縣立萬安國小,公立,山,83,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,來義鄉,134754,縣立來義國小,公立,山,112,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,來義鄉,134755,縣立望嘉國小,公立,山,60,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,來義鄉,134756,縣立文樂國小,公立,山,52,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,來義鄉,134757,縣立南和國小,公立,山,73,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,來義鄉,134758,縣立古樓國小,公立,山,40,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,春日鄉,134759,縣立春日國小,公立,山,68,2,0,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[13]屏東縣,春日鄉,134760,縣立力里國小,公立,山,106,3,0,97,2,0,0,2,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,春日鄉,134761,縣立古華國小,公立,山,57,0,0,52,0,0,0,2,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,獅子鄉,134762,縣立楓林國小,公立,山,29,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,獅子鄉,134763,縣立丹路國小,公立,山,38,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,獅子鄉,134764,縣立內獅國小,公立,山,76,0,0,73,1,0,0,0,0,0,0,0,2,0,0,0,0,0
[13]屏東縣,獅子鄉,134765,縣立草埔國小,公立,山,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,牡丹鄉,134766,縣立石門國小,公立,山,80,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,牡丹鄉,134768,縣立高士國小,公立,山,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,牡丹鄉,134769,縣立牡丹國小,公立,山,55,7,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,三地門鄉,134784,縣立賽嘉國小,公立,山,42,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13]屏東縣,瑪家鄉,134787,縣立長榮百合國小,公立,山,108,0,0,76,1,0,0,23,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,金峰鄉,144676,縣立嘉蘭國小,公立,山,68,5,0,52,0,0,0,10,0,0,0,0,1,0,0,0,0,0
[14]臺東縣,金峰鄉,144677,縣立介達國小,公立,山,41,2,0,32,0,0,0,7,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,金峰鄉,144678,縣立新興國小,公立,山,59,2,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,金峰鄉,144679,縣立賓茂國小,公立,山,121,9,0,99,1,3,0,4,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,達仁鄉,144680,縣立安朔國小,公立,山,55,1,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,達仁鄉,144681,縣立土坂國小,公立,山,31,1,1,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,達仁鄉,144683,縣立臺坂國小,公立,山,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,蘭嶼鄉,144685,縣立蘭嶼國小,公立,山,24,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0
[14]臺東縣,蘭嶼鄉,144686,縣立椰油國小,公立,山,73,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
[14]臺東縣,蘭嶼鄉,144687,縣立東清國小,公立,山,43,2,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
[14]臺東縣,蘭嶼鄉,144688,縣立朗島國小,公立,山,29,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
[14]臺東縣,延平鄉,144689,縣立桃源國小,公立,山,81,5,1,4,64,0,0,2,0,0,0,0,2,0,0,0,0,0
[14]臺東縣,延平鄉,144690,縣立武陵國小,公立,山,55,3,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,延平鄉,144692,縣立鸞山國小,公立,山,30,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,延平鄉,144693,縣立紅葉國小,公立,山,46,17,2,0,15,8,1,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,海端鄉,144694,縣立海端國小,公立,山,33,3,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0
[14]臺東縣,海端鄉,144695,縣立初來國小,公立,山,54,1,1,2,46,2,0,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,海端鄉,144696,縣立崁頂國小,公立,山,35,2,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,海端鄉,144697,縣立廣原國小,公立,山,42,3,0,2,33,0,0,0,0,0,0,0,1,0,0,0,0,0
[14]臺東縣,海端鄉,144698,縣立錦屏國小,公立,山,39,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,海端鄉,144700,縣立加拿國小,公立,山,29,1,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0
[14]臺東縣,海端鄉,144702,縣立霧鹿國小,公立,山,38,1,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0
[15]花蓮縣,秀林鄉,154681,縣立秀林國小,公立,山,75,4,8,0,1,0,0,0,0,0,0,0,59,0,1,0,0,0
[15]花蓮縣,秀林鄉,154682,縣立富世國小,公立,山,68,1,1,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
[15]花蓮縣,秀林鄉,154683,縣立崇德國小,公立,山,76,1,2,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
[15]花蓮縣,秀林鄉,154684,縣立和平國小,公立,山,89,5,6,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
[15]花蓮縣,秀林鄉,154685,縣立景美國小,公立,山,39,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
[15]花蓮縣,秀林鄉,154686,縣立三棧國小,公立,山,35,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
[15]花蓮縣,秀林鄉,154687,縣立佳民國小,公立,山,37,2,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
[15]花蓮縣,秀林鄉,154688,縣立銅門國小,公立,山,71,7,3,0,0,0,0,1,0,0,0,0,54,0,5,0,0,0
[15]花蓮縣,秀林鄉,154689,縣立水源國小,公立,山,90,6,1,1,1,0,0,1,0,0,0,0,80,0,0,0,0,0
[15]花蓮縣,秀林鄉,154690,縣立銅蘭國小,公立,山,50,3,3,3,3,0,0,0,0,0,0,0,37,0,0,0,0,0
[15]花蓮縣,秀林鄉,154691,縣立文蘭國小,公立,山,48,10,0,1,1,0,0,0,0,0,0,0,27,0,0,0,0,0
[15]花蓮縣,萬榮鄉,154692,縣立萬榮國小,公立,山,47,1,1,0,3,0,0,0,0,0,0,0,40,0,0,0,0,0
[15]花蓮縣,萬榮鄉,154693,縣立明利國小,公立,山,41,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
[15]花蓮縣,萬榮鄉,154694,縣立見晴國小,公立,山,36,2,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
[15]花蓮縣,萬榮鄉,154695,縣立馬遠國小,公立,山,47,5,0,0,39,0,0,0,0,0,0,0,3,0,0,0,0,0
[15]花蓮縣,萬榮鄉,154696,縣立西林國小,公立,山,68,2,0,0,0,0,0,0,0,0,0,0,61,0,2,0,0,0
[15]花蓮縣,萬榮鄉,154697,縣立紅葉國小,公立,山,52,3,0,0,5,0,0,0,0,0,0,1,43,0,0,0,0,0
[15]花蓮縣,卓溪鄉,154698,縣立卓溪國小,公立,山,56,4,0,2,41,0,0,0,0,0,0,0,6,0,1,0,0,0
[15]花蓮縣,卓溪鄉,154699,縣立崙山國小,公立,山,43,1,0,0,33,0,0,0,0,0,0,0,3,0,6,0,0,0
[15]花蓮縣,卓溪鄉,154700,縣立立山國小,公立,山,47,1,2,0,3,0,0,0,0,0,0,0,26,0,14,0,0,0
[15]花蓮縣,卓溪鄉,154701,縣立太平國小,公立,山,42,5,0,1,35,0,0,0,0,0,0,0,1,0,0,0,0,0
[15]花蓮縣,卓溪鄉,154702,縣立卓清國小,公立,山,22,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
